user_id,product_id,score,comment,createdAt,updatedAt,id
7,4,3,"Chất lượng của sản phẩm vượt xa mong đợi của tôi.
",2024-01-02 05:42:48.983148,2024-05-01 03:19:13.79401,2113415
53,31,4,"Đó là một lựa chọn tuyệt vời cho thú cưng của bạn.
",2024-03-17 11:32:27.075948,2024-05-01 03:19:13.79401,2113416
11,14,3,"Sản phẩm này thực sự là một điều cần thiết cho bất kỳ chủ nhân thú cưng nào.
",2024-02-24 04:17:19.933548,2024-05-01 03:19:13.79401,2113417
49,14,3,"Tôi đã giới thiệu sản phẩm này cho nhiều bạn bè vì tôi thực sự hài lòng với nó.
",2024-02-10 05:12:59.725548,2024-05-01 03:19:13.79401,2113418
8,9,5,"Tôi đã dành rất nhiều thời gian để tìm kiếm sản phẩm hoàn hảo cho thú cưng của mình và tôi rất may mắn khi tìm thấy nó.
",2024-02-15 01:31:12.656748,2024-05-01 03:19:13.79401,2113419
6,13,3,"Sản phẩm này là một trong những đầu tư tốt nhất mà tôi đã làm cho thú cưng của mình.
",2024-02-21 17:58:29.965548,2024-05-01 03:19:13.79401,2113420
52,9,3,"Tôi đã đọc rất nhiều đánh giá tích cực về sản phẩm này trước khi quyết định mua và tôi không hối hận về quyết định của mình.
",2024-03-18 10:09:36.397548,2024-05-01 03:19:13.79401,2113421
30,33,4,"Tôi rất ấn tượng với chất lượng của sản phẩm này, nó đã vượt xa mong đợi của tôi.
",2024-03-27 10:44:44.471148,2024-05-01 03:19:13.79401,2113434
32,38,4,"Sản phẩm dùng tốt, shop hỗ trợ nhiệt tình!",2024-01-27 07:51:34.093548,2024-05-01 03:19:13.79401,2113435
44,2,3,"Sản phẩm này đã giúp thú cưng của tôi giảm bớt căng thẳng sau một ngày dài.
",2024-02-29 16:47:51.267948,2024-05-01 03:19:13.79401,2113438
34,55,4,"Sản phẩm này là một trong những đầu tư tốt nhất mà tôi đã làm cho thú cưng của mình.
",2024-05-08 18:35:24.092639,2024-05-08 18:35:24.092639,2113513
